Species	Accession	Clade
Eristalis pertinax	GCA_907269125.1	metazoa
Eristalis tenax	GCA_905231855.1	metazoa
Eristalis tenax	GCA_905231855.2	metazoa
Eristalis tenax	GCA_905231845.1	metazoa
Eupeodes corollae	GCA_945859685.1	metazoa
Eupeodes corollae	GCA_945859775.1	metazoa
Eupeodes latifasciatus	GCA_920104105.1	metazoa
Eupeodes latifasciatus	GCA_920104205.1	metazoa
Eupeodes luniger	GCA_951508365.1	metazoa
Eupeodes luniger	GCA_951509635.1	metazoa
Eustalomyia histrio	GCA_949748255.1	metazoa
Eustalomyia histrio	GCA_949748445.1	metazoa
Gymnosoma rotundatum	GCA_916610165.1	metazoa
Gymnosoma rotundatum	GCA_916610175.1	metazoa
Gymnosoma rotundatum	GCA_916610175.2	metazoa
Gymnosoma rotundatum	GCA_916610165.2	metazoa
Hermetia illucens	GCA_905115235.1	metazoa
Heteromyza rotundicornis	GCA_951394035.1	metazoa
Heteromyza rotundicornis	GCA_951394025.1	metazoa
Hirtodrosophila cameraria	GCA_949708635.1	metazoa
Hirtodrosophila cameraria	GCA_949708645.1	metazoa
Leucophora obtusa	GCA_949987735.1	metazoa
Leucozona laternaria	GCA_932273905.1	metazoa
Leucozona laternaria	GCA_932273885.1	metazoa
Lucilia cuprina	GCA_022045245.1	metazoa
Machimus atricapillus	GCA_933228815.1	metazoa
Machimus atricapillus	GCA_933228755.1	metazoa
Machimus rusticus	GCA_951509405.1	metazoa
Melangyna quadrimaculata	GCA_949320155.1	metazoa
Melanostoma mellinum	GCA_914767615.1	metazoa
Melanostoma mellinum	GCA_914767635.1	metazoa
Melanostoma mellinum	GCA_914767615.2	metazoa
Melanostoma scalare	GCA_949752695.1	metazoa
Merzomyia westermanni	GCA_950005075.1	metazoa
Merzomyia westermanni	GCA_949987695.1	metazoa
Microchrysa polita	GCA_949715475.1	metazoa
Myathropa florea	GCA_930367185.1	metazoa
Myathropa florea	GCA_930367245.1	metazoa
Myopa tessellatipennis	GCA_943737955.1	metazoa
Myopa testacea	GCA_949629155.1	metazoa
Neoascia interrupta	GCA_947623515.1	metazoa
Nephrotoma appendiculata	GCA_947310385.1	metazoa
Nephrotoma flavescens	GCA_932525705.1	metazoa
Nephrotoma flavescens	GCA_932526605.1	metazoa
Nowickia ferox	GCA_936439885.1	metazoa
Nowickia ferox	GCA_936446695.1	metazoa
Phasia obesa	GCA_949628195.1	metazoa
Pherbina coryleti	GCA_943735915.1	metazoa
Pherbina coryleti	GCA_943735905.1	metazoa
Phlebotomus perniciosus	GCA_918844115.1	metazoa
Phlebotomus perniciosus	GCA_918844115.2	metazoa
Phyto melanocephala	GCA_941918925.1	metazoa
Phyto melanocephala	GCA_941918875.1	metazoa
Platycheirus albimanus	GCA_916050315.1	metazoa
Platycheirus albimanus	GCA_916050605.1	metazoa
Platycheirus albimanus	GCA_916050605.2	metazoa
Pollenia amentaria	GCA_943735935.1	metazoa
Pollenia amentaria	GCA_943735925.1	metazoa
Pollenia angustigena	GCA_930367215.1	metazoa
Pollenia angustigena	GCA_930374645.1	metazoa
Pollenia labialis	GCA_949318255.1	metazoa
Portevinia maculata	GCA_949715645.1	metazoa
Protocalliphora azurea	GCA_932274085.1	metazoa
Protocalliphora azurea	GCA_932273785.1	metazoa
Protophormia terraenovae	GCA_951394005.1	metazoa
Protophormia terraenovae	GCA_951394085.1	metazoa
Rhagoletis pomonella	GCA_013731165.1	metazoa
Rhingia campestris	GCA_932526435.1	metazoa
Rhingia campestris	GCA_932526625.1	metazoa
Rhingia rostrata	GCA_949824845.1	metazoa
Sabethes cyaneus	GCA_943734655.1	metazoa
Sarcophaga caerulescens	GCA_927399465.1	metazoa
Sarcophaga caerulescens	GCA_927399425.1	metazoa
Sarcophaga rosellei	GCA_930367195.1	metazoa
Sarcophaga rosellei	GCA_930367235.1	metazoa
Sarcophaga subvicina	GCA_936440885.1	metazoa
Sarcophaga subvicina	GCA_936449025.1	metazoa
Sarcophaga subvicina	GCA_936440885.2	metazoa
Sarcophaga variegata	GCA_932276125.1	metazoa
Scaeva pyrastri	GCA_905146935.1	metazoa
Scaeva pyrastri	GCA_905147095.1	metazoa
Sphaerophoria rueppellii	GCA_920937365.1	metazoa
Sphaerophoria taeniata	GCA_943590905.1	metazoa
Sphaerophoria taeniata	GCA_943591125.1	metazoa
Sphenella marginata	GCA_951509705.1	metazoa
Sphenella marginata	GCA_951509765.1	metazoa
Stomorhina lunata	GCA_933228635.1	metazoa
Stomorhina lunata	GCA_933228675.1	metazoa
Suillia variegata	GCA_949128005.1	metazoa
Suillia variegata	GCA_949127995.1	metazoa
Syritta pipiens	GCA_905147025.1	metazoa
Syritta pipiens	GCA_905187475.1	metazoa
Tachina fera	GCA_905220375.1	metazoa
Tachina fera	GCA_905220395.1	metazoa
Tachina grossa	GCA_949987645.1	metazoa
Tachina grossa	GCA_949987635.1	metazoa
Tachina lurida	GCA_944452675.1	metazoa
Tachina lurida	GCA_944452685.1	metazoa
Thecocarcelia acutangulata	GCA_914767745.1	metazoa
Thecocarcelia acutangulata	GCA_914767995.1	metazoa
Thecophora atra	GCA_937620795.1	metazoa
Thecophora atra	GCA_937641085.1	metazoa
Tricholauxania praeusta	GCA_949775025.1	metazoa
Villa cingulata	GCA_951394055.1	metazoa
Volucella bombylans	GCA_949129105.1	metazoa
Volucella bombylans	GCA_949129095.1	metazoa
Volucella inanis	GCA_907269105.1	metazoa
Volucella inanis	GCA_907269115.1	metazoa
Volucella inflata	GCA_928272175.1	metazoa
Volucella inflata	GCA_928272305.1	metazoa
Xanthogramma pedissequum	GCA_910595825.1	metazoa
Xanthogramma pedissequum	GCA_910595765.1	metazoa
Xylota sylvarum	GCA_905220385.1	metazoa
Xylota sylvarum	GCA_905220405.1	metazoa
Acanthopagrus latus	GCA_904848185.1	metazoa
Acipenser ruthenus	GCA_902713435.2	metazoa
Acipenser ruthenus	GCA_902713435.1	metazoa
Alosa sapidissima	GCA_018492685.1	metazoa
Ameiurus melas	GCA_012411365.1	metazoa
Amphiprion ocellaris	GCA_022539595.1	metazoa
Amphiprion percula	GCA_003047355.2	metazoa
Anabas testudineus	GCA_900324465.2	metazoa
Anabas testudineus	GCA_900324465.3	metazoa
Anabas testudineus	GCA_900324465.1	metazoa
Anableps anableps	GCA_014839685.1	metazoa
Anguilla anguilla	GCA_013347855.1	metazoa
Archocentrus centrarchus	GCA_007364275.2	metazoa
Astatotilapia calliptera	GCA_900246225.5	metazoa
Astatotilapia calliptera	GCA_900246225.3	metazoa
Astyanax mexicanus	GCA_019721115.1	metazoa
Astyanax mexicanus	GCA_023375835.1	metazoa
Astyanax mexicanus	GCA_023375975.1	metazoa
Astyanax mexicanus	GCA_023375845.1	metazoa
Beaufortia kweichowensis	GCA_019155185.1	metazoa
Betta splendens	GCA_900634795.2	metazoa
Betta splendens	GCA_900634795.3	metazoa
Carassius auratus red var.	GCA_009069565.1	metazoa
Channa argus	GCA_018997905.1	metazoa
Cheilinus undulatus	GCA_018320785.1	metazoa
Chelmon rostratus	GCA_017976325.1	metazoa
Clarias gariepinus	GCA_024256425.1	metazoa
Clupea harengus	GCA_900700415.2	metazoa
Coilia nasus	GCA_027475355.1	metazoa
Collichthys lucidus	GCA_004119915.2	metazoa
Coregonus clupeaformis	GCA_018398675.1	metazoa
Cottoperca gobio	GCA_900634415.1	metazoa
Culter alburnus	GCA_009869775.1	metazoa
Cyclopterus lumpus	GCA_009769545.1	metazoa
Cyprinus carpio carpio	GCA_905221575.1	metazoa
Danio aesculapii	GCA_903798145.1	metazoa
Denticeps clupeoides	GCA_900700375.2	metazoa
Denticeps clupeoides	GCA_900700375.1	metazoa
Dicentrarchus labrax	GCA_905237075.1	metazoa
Echeneis naucrates	GCA_900963305.1	metazoa
Electrophorus electricus	GCA_013358815.1	metazoa
Erpetoichthys calabaricus	GCA_900747795.2	metazoa
Esox lucius	GCA_011004845.1	metazoa
Gadus morhua	GCA_010882105.1	metazoa
Gadus morhua	GCA_902167405.1	metazoa
Gasterosteus aculeatus	GCA_006232265.1	metazoa
Gasterosteus aculeatus	GCA_006229185.1	metazoa
Gasterosteus aculeatus	GCA_006232285.1	metazoa
Gasterosteus aculeatus aculeatus	GCA_016920845.1	metazoa
Girardinichthys multiradiatus	GCA_021462225.2	metazoa
Gobiocypris rarus	GCA_023029165.1	metazoa
Gouania willdenowi	GCA_900634775.1	metazoa
Gymnodraco acuticeps	GCA_902827175.1	metazoa
Harpagifer antarcticus	GCA_902827135.1	metazoa
Hemibagrus wyckioides	GCA_019097595.1	metazoa
Hippoglossus hippoglossus	GCA_009819705.1	metazoa
Ictalurus punctatus	GCA_004006655.3	metazoa
Labeo catla	GCA_012976165.1	metazoa
Lampris incognitus	GCA_022059245.1	metazoa
Larimichthys crocea	GCA_003711585.2	metazoa
Mastacembelus armatus	GCA_900324485.2	metazoa
Mastacembelus armatus	GCA_900324485.1	metazoa
Megalops cyprinoides	GCA_013368585.1	metazoa
Melanotaenia boesemani	GCA_017639745.1	metazoa
Micropterus salmoides	GCA_022435785.1	metazoa
Mugil cephalus	GCA_022458985.1	metazoa
Myripristis murdjan	GCA_902150065.1	metazoa
Nibea albiflora	GCA_014281875.1	metazoa
Nibea coibor	GCA_023373845.1	metazoa
Nothobranchius furzeri	GCA_001465895.2	metazoa
Nothobranchius kuhntae	GCA_006942095.1	metazoa
Notolabrus celidotus	GCA_009762535.1	metazoa
Oncorhynchus gorbuscha	GCA_017355495.1	metazoa
Oncorhynchus keta	GCA_023373465.1	metazoa
Oncorhynchus kisutch	GCA_002021735.2	metazoa
Oncorhynchus mykiss	GCA_013265735.3	metazoa
Oncorhynchus nerka	GCA_006149115.1	metazoa
Oncorhynchus tshawytscha	GCA_018296145.1	metazoa
Oreochromis aureus	GCA_013358895.1	metazoa
Oryzias latipes	GCA_002234715.1	metazoa
Oryzias latipes	GCA_947078785.1	metazoa
Oryzias latipes	GCA_947078765.1	metazoa
Oryzias latipes	GCA_947078805.1	metazoa
Oryzias latipes	GCA_947078795.1	metazoa
Oryzias latipes	GCA_947078775.1	metazoa
Oryzias latipes	GCA_947078815.1	metazoa
Oryzias latipes	GCA_002234675.1	metazoa
Oryzias latipes	GCA_947076645.1	metazoa
Oryzias latipes	GCA_947078855.1	metazoa
Oryzias latipes	GCA_947078845.1	metazoa
Oryzias latipes	GCA_002234695.1	metazoa
Oryzias latipes	GCA_947078865.1	metazoa
Oryzias latipes	GCA_947078835.1	metazoa
Oryzias latipes	GCA_947078825.1	metazoa
Pangasianodon hypophthalmus	GCA_027358585.1	metazoa
Paracanthobrama guichenoti	GCA_018749465.1	metazoa
Paralichthys olivaceus	GCA_024713975.2	metazoa
Parambassis ranga	GCA_900634625.1	metazoa
Parambassis ranga	GCA_900634625.2	metazoa
Periophthalmus magnuspinnatus	GCA_009829125.3	metazoa
Periophthalmus magnuspinnatus	GCA_009829125.1	metazoa
Pholidichthys leucotaenia	GCA_020510985.1	metazoa
Pholis gunnellus	GCA_910591455.2	metazoa
Phyllopteryx taeniolatus	GCA_024500385.1	metazoa
Plectropomus leopardus	GCA_011397275.1	metazoa
Pleuronectes platessa	GCA_947347685.1	metazoa
Poecilia formosa	GCA_013036085.2	metazoa
Pseudochaenichthys georgianus	GCA_902827115.1	metazoa
Pseudoliparis sp. Yap Trench	GCA_004335475.1	metazoa
Pygocentrus nattereri	GCA_015220715.1	metazoa
Reinhardtius hippoglossoides	GCA_006182925.3	metazoa
Salarias fasciatus	GCA_902148845.1	metazoa
Salmo salar	GCA_931346935.2	metazoa
Salmo salar	GCA_905237065.2	metazoa
