Species	Accession	Clade
Alouatta palliata	GCA_004027835.1	metazoa
Ateles geoffroyi	GCA_004024785.1	metazoa
Callithrix jacchus	GCA_011100555.1	metazoa
Cheirogaleus medius	GCA_004024725.1	metazoa
Daubentonia madagascariensis	GCA_004027145.1	metazoa
Homo sapiens	GCA_018472595.1	metazoa
Homo sapiens	GCA_018469405.1	metazoa
Homo sapiens	GCA_018469965.1	metazoa
Homo sapiens	GCA_018506965.1	metazoa
Homo sapiens	GCA_018469415.1	metazoa
Homo sapiens	GCA_018503265.1	metazoa
Homo sapiens	GCA_018471555.1	metazoa
Homo sapiens	GCA_018503275.1	metazoa
Homo sapiens	GCA_018504655.1	metazoa
Homo sapiens	GCA_018469665.1	metazoa
Homo sapiens	GCA_018471105.1	metazoa
Homo sapiens	GCA_018852585.1	metazoa
Homo sapiens	GCA_018472585.1	metazoa
Homo sapiens	GCA_018506955.1	metazoa
Homo sapiens	GCA_018472825.1	metazoa
Homo sapiens	GCA_018471075.1	metazoa
Homo sapiens	GCA_018504055.1	metazoa
Homo sapiens	GCA_018466985.1	metazoa
Homo sapiens	GCA_018473315.1	metazoa
Homo sapiens	GCA_018472565.1	metazoa
Homo sapiens	GCA_018503585.1	metazoa
Homo sapiens	GCA_018505835.1	metazoa
Homo sapiens	GCA_018469935.1	metazoa
Homo sapiens	GCA_018504625.1	metazoa
Homo sapiens	GCA_018471095.1	metazoa
Homo sapiens	GCA_018852595.1	metazoa
Homo sapiens	GCA_021951015.1	metazoa
Homo sapiens	GCA_018505865.1	metazoa
Homo sapiens	GCA_018472685.1	metazoa
Homo sapiens	GCA_018470445.1	metazoa
Homo sapiens	GCA_018505845.1	metazoa
Homo sapiens	GCA_018466855.1	metazoa
Homo sapiens	GCA_018504065.1	metazoa
Homo sapiens	GCA_018473305.1	metazoa
Homo sapiens	GCA_018467165.1	metazoa
Homo sapiens	GCA_018504665.1	metazoa
Homo sapiens	GCA_018472695.1	metazoa
Homo sapiens	GCA_018472845.1	metazoa
Homo sapiens	GCA_018471515.1	metazoa
Homo sapiens	GCA_018472705.1	metazoa
Homo sapiens	GCA_018472575.1	metazoa
Homo sapiens	GCA_018503525.1	metazoa
Homo sapiens	GCA_021950905.1	metazoa
Homo sapiens	GCA_018469705.1	metazoa
Homo sapiens	GCA_018504365.1	metazoa
Homo sapiens	GCA_018470455.1	metazoa
Homo sapiens	GCA_018471345.1	metazoa
Homo sapiens	GCA_018503245.1	metazoa
Homo sapiens	GCA_018472715.1	metazoa
Homo sapiens	GCA_018506945.1	metazoa
Homo sapiens	GCA_018852605.1	metazoa
Homo sapiens	GCA_018503255.1	metazoa
Homo sapiens	GCA_018469695.1	metazoa
Homo sapiens	GCA_018504375.1	metazoa
Homo sapiens	GCA_018471535.1	metazoa
Homo sapiens	GCA_018472865.1	metazoa
Homo sapiens	GCA_018473295.1	metazoa
Homo sapiens	GCA_018470425.1	metazoa
Homo sapiens	GCA_018504085.1	metazoa
Homo sapiens	GCA_018469675.1	metazoa
Homo sapiens	GCA_018470465.1	metazoa
Homo sapiens	GCA_018472725.1	metazoa
Homo sapiens	GCA_018469865.1	metazoa
Homo sapiens	GCA_018471065.1	metazoa
Homo sapiens	GCA_018506975.1	metazoa
Homo sapiens	GCA_018467015.1	metazoa
Homo sapiens	GCA_018471525.1	metazoa
Homo sapiens	GCA_018503575.1	metazoa
Homo sapiens	GCA_018505825.1	metazoa
Homo sapiens	GCA_018469875.1	metazoa
Homo sapiens	GCA_018469425.1	metazoa
Homo sapiens	GCA_018472765.1	metazoa
Homo sapiens	GCA_018504645.1	metazoa
Homo sapiens	GCA_018503285.1	metazoa
Homo sapiens	GCA_018506125.1	metazoa
Homo sapiens	GCA_018472855.1	metazoa
Homo sapiens	GCA_009914755.4	metazoa
Homo sapiens	GCA_018472605.1	metazoa
Homo sapiens	GCA_018467005.1	metazoa
Homo sapiens	GCA_018467155.1	metazoa
Homo sapiens	GCA_018504045.1	metazoa
Homo sapiens	GCA_018469945.1	metazoa
Homo sapiens	GCA_018466835.1	metazoa
Homo sapiens	GCA_018852615.1	metazoa
Homo sapiens	GCA_018472835.1	metazoa
Homo sapiens	GCA_018506165.1	metazoa
Homo sapiens	GCA_018469955.1	metazoa
Homo sapiens	GCA_018506155.1	metazoa
Homo sapiens	GCA_018466845.1	metazoa
Homo sapiens	GCA_018504075.1	metazoa
Homo sapiens	GCA_018504635.1	metazoa
Homo sapiens	GCA_018471545.1	metazoa
Homo sapiens	GCA_018505855.1	metazoa
Homo sapiens	GCA_018469925.1	metazoa
Homo sapiens	GCA_018470435.1	metazoa
Homo sapiens	GCA_018469685.1	metazoa
Homo sapiens	GCA_018471085.1	metazoa
Hylobates moloch	GCA_009828535.3	metazoa
Hylobates moloch	GCA_009828535.2	metazoa
Hylobates pileatus	GCA_021498465.1	metazoa
Lemur catta	GCA_004024665.1	metazoa
Macaca fascicularis	GCA_903645275.1	metazoa
Macaca fascicularis	GCA_903645265.1	metazoa
Macaca fascicularis	GCA_011100615.1	metazoa
Macaca thibetana thibetana	GCA_024542745.1	metazoa
Nomascus leucogenys	GCA_006542625.1	metazoa
Nycticebus coucang	GCA_027406575.1	metazoa
Papio anubis	GCA_008728515.1	metazoa
Pongo abelii	GCA_002880775.3	metazoa
Saimiri boliviensis boliviensis	GCA_016699345.1	metazoa
Sapajus apella	GCA_009761245.1	metazoa
Trachypithecus francoisi	GCA_009764325.1	metazoa
Trachypithecus francoisi	GCA_009764315.1	metazoa
Anolis carolinensis	GCA_000090745.2	metazoa
Caretta caretta	GCA_023653815.1	metazoa
Chelonia mydas	GCA_015237465.2	metazoa
Chrysemys picta	GCA_011386835.1	metazoa
Gekko gecko	GCA_029375565.1	metazoa
Gopherus evgoodei	GCA_007399415.1	metazoa
Lacerta agilis	GCA_009819535.1	metazoa
Naja naja	GCA_009733165.1	metazoa
Pantherophis guttatus	GCA_001185365.2	metazoa
Thamnophis elegans	GCA_009769535.1	metazoa
Zootoca vivipara	GCA_011800845.1	metazoa
Acomys cahirinus	GCA_004027535.1	metazoa
Acomys dimidiatus	GCA_907164435.1	metazoa
Arvicanthis niloticus	GCA_011762505.1	metazoa
Arvicola amphibius	GCA_903992535.1	metazoa
Arvicola amphibius	GCA_903992535.2	metazoa
Cavia tschudii	GCA_004027695.1	metazoa
Cricetulus griseus	GCA_003668045.2	metazoa
Heterocephalus glaber	GCA_944319725.1	metazoa
Heterocephalus glaber	GCA_944319715.1	metazoa
Hydrochoerus hydrochaeris	GCA_004027455.1	metazoa
Hydrochoerus hydrochaeris	GCA_015741225.1	metazoa
Ictidomys tridecemlineatus	GCA_016881025.1	metazoa
Jaculus jaculus	GCA_020740685.1	metazoa
Marmota flaviventris	GCA_003676075.2	metazoa
Marmota himalayana	GCA_005280165.1	metazoa
Marmota monax	GCA_901343595.1	metazoa
Meriones unguiculatus	GCA_004026785.1	metazoa
Mesocricetus auratus	GCA_017639785.1	metazoa
Mus minutoides	GCA_902729485.1	metazoa
Mus minutoides	GCA_902729485.2	metazoa
Mus minutoides	GCA_902729475.1	metazoa
Mus minutoides	GCA_902729475.2	metazoa
Mus musculus	GCA_922000895.2	metazoa
Mus musculus	GCA_947599735.1	metazoa
Mus musculus	GCA_921997125.2	metazoa
Mus musculus	GCA_921998635.2	metazoa
Mus musculus	GCA_921998355.2	metazoa
Mus musculus	GCA_921998315.2	metazoa
Mus musculus	GCA_921997145.2	metazoa
Mus musculus	GCA_921998905.2	metazoa
Mus musculus	GCA_921998555.2	metazoa
Mus musculus	GCA_947593165.1	metazoa
Mus musculus	GCA_921999865.2	metazoa
Mus musculus	GCA_921998325.2	metazoa
Mus musculus castaneus	GCA_921999005.2	metazoa
Mus musculus domesticus	GCA_921998345.2	metazoa
Mus musculus molossinus	GCA_921999095.2	metazoa
Mus musculus musculus	GCA_921998335.2	metazoa
Mus spretus	GCA_921997135.2	metazoa
Myodes glareolus	GCA_004368595.1	metazoa
Onychomys arenicola	GCA_949786425.1	metazoa
Onychomys leucogaster	GCA_949786385.1	metazoa
Onychomys torridus	GCA_903995425.1	metazoa
Peromyscus eremicus	GCA_949786415.1	metazoa
Peromyscus eremicus	GCA_902702925.1	metazoa
Peromyscus eremicus	GCA_949786435.1	metazoa
Peromyscus leucopus	GCA_004664715.1	metazoa
Psammomys obesus	GCA_002215935.2	metazoa
Rattus norvegicus	GCA_015227675.2	metazoa
Rattus norvegicus	GCA_023515785.1	metazoa
Rattus norvegicus	GCA_021556685.1	metazoa
Rattus norvegicus	GCA_023515805.1	metazoa
Rhizomys pruinosus	GCA_009823505.1	metazoa
Sciurus carolinensis	GCA_902686445.2	metazoa
Sciurus vulgaris	GCA_902686455.2	metazoa
Sciurus vulgaris	GCA_902686455.1	metazoa
Sigmodon hispidus	GCA_004025045.1	metazoa
